occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementMethod,measurementUnit,measurementUnitID
Hakai_phyto_QU39_2016-03-29_0m_6,Hakai_phyto_QU39_2016-03-29_0m_6_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,65427,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_7,Hakai_phyto_QU39_2016-03-29_0m_7_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,649,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_8,Hakai_phyto_QU39_2016-03-29_0m_8_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,108,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_9,Hakai_phyto_QU39_2016-03-29_0m_9_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,1750,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_10,Hakai_phyto_QU39_2016-03-29_0m_10_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,216,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_11,Hakai_phyto_QU39_2016-03-29_0m_11_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,162,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_12,Hakai_phyto_QU39_2016-03-29_0m_12_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,54,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_13,Hakai_phyto_QU39_2016-03-29_0m_13_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,54,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_14,Hakai_phyto_QU39_2016-03-29_0m_14_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,207,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_15,Hakai_phyto_QU39_2016-03-29_0m_15_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,10500,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_16,Hakai_phyto_QU39_2016-03-29_0m_16_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,811,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_17,Hakai_phyto_QU39_2016-03-29_0m_17_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,216,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
