species,,,,QPHY1452,QPHY1453,QPHY1457,QPHY1458,QPHY1459,QPHY1460,QPHY1461,QPHY1463,QPHY1464,QPHY1465,QPHY1467,QPHY1468,QPHY1469,QPHY1470,QPHY1472,QPHY1473,QPHY1474,QPHY1476,QPHY1477,QPHY1478,QPHY1479,QPHY1481,QPHY1482,QPHY1484,QPHY1486,QPHY1488,QPHY1487,QPHY1489,QPHY1490,QPHY1491,QPHY1492,QPHY1493
Metazoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendicularia,,,,,,,,,,,,,,,,,,,,,,,,,,48,200,,,,,,,,
Copepod nauplii/ekdysis,,,,,,,,,,,,40,40,,,,,,,48,111,,89,,,,,111,40,,,,,,311
Copepodids,,,,,,,,,40,,,,,,,,,,,,,,,,89,,,,,54,,,,,
Crustacean pieces,,,,,80,,,,,,,,40,,,,,,,,,,89,,,,,,80,,,,,,
Eggs,,,,,,,,,,,,,,,,,,,2488,,,,,40,,,,,,,,,,,
Fecal Pellets,,,,480,360,160,160,120,240,296,666,440,200,666,777,288,432,89,311,48,222,2177,1869,1880,1335,336,400,333,480,540,288,555,1008,600,1555
Oikopleura ejecta (?),,,,,,,,,120,148,555,80,,666,111,,288,89,622,,,,89,,,,,111,40,,,,,,
Polylchaete larvae,,,,,,,,,,,,,,,,,,,,,,311,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiolaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prymnesiophyta-Haptophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysochromulina spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phaeocystis poucheteii,,non-motile stg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phaeocystis poucheteii,,,,,,,,,,370,1221,,,,20590,20419,1152,,,,,113750,245007,,,,,,,,,,,365566,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphidiophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heterosigma akashiwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heterosigma spp,,,,,,,,,,,,,,,,,,,,,,4375,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown very small flagellated species,,,,171500,169128,381500,379210,289656,148750,189605,195439,210012,420048,250776,189428,274198,463803,272961,196000,286380,1505000,573125,1015029,1613852,883750,770000,241832,379184,455013,573125,656250,600000,2712500,458902,310625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown very small non-flagellated cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown cells,,,,80,,,,,,,,,,,,,,,,144,333,,,,178,96,,,,,,,,,622
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,"Interesting, a spring bloom",,,,,,,,,,,,,Many ,,Looks like,,,,Many L. danicus cells,,,,,,A very abundant
,,,,,,,,,,occurs in late February,,,,,,,,,,,,,empty,,Fall suite,,,,with auxospores,,,,,,pennate species
,,,,,,,,,,and then recurs in April,,,,,,,,,,,,,frustules,,,,,,,,,,,,found as an epiphyte
,,,,,,,,,,and May,,,,,,,,,,,,,Heavy,,,,,,,,,,,,on Chaetoceros
,,,,,,,,,,,,,,,,,,,,,,,grazing?,,,,,,,,,,,,setae
